nev	style
Flavin, Dan	Light Installation, Minimalism, USA
Flinck, Govert	Painting, Oil, Portrait, Netherlands, 17th Century
Flint, Alex Russell	Painting, Oil, Portrait, UK
Foksowicz, Piotr	Illustration, Concept Art, Game Art, Fantasy, Poland
Forbes, Stanhope	Painting, Oil, Landscape, Ireland, 19th Century
Fortescue-Brickdale, Eleanor	Painting, Illustration, UK
Foss, Chris	Illustration, Painting, Sci-Fi, Guernsey
Foster, Hal	Illustration, Comic, Canada
Foster, Jon	Illustration, Comic, Cover Art, Game Art, MTG, USA
Fra Angelico	Painting, Oil, Tempera, Portrait, Mythology, Italy, 15th Century
Fraction, Matt	Comic, Marvel, USA
Fragonard, Jean-Honoré	Painting, Oil, Portrait, Rococo, France, 18th Century
Francavilla, Francesco	Comic, Graphic Novel, DC Comics, Marvel, Cover Art, Italy
Francesca, Piero della	Painting, Oil, Italy, 15th Century
Frank, Lisa	Illustration, Rainbow, USA
Frazetta, Frank	Illustration, Fantasy, Sci-Fi, USA
Friedrich, Caspar David	Painting, Oil, Landscape, Romanticism, Germany, 19th Century
Friel, Chris	Photography, Landscape, B&W, UK
Froud, Brian	Illustration, Fantasy, Concept Art, Jim Henson, UK
Fuchs, Ando	Photography, Portrait, Landscape, B&W, Italy
Fujita, Goro	Illustration, Animation, Character Design, Japan, USA
Gallagher, Ellen	Painting, Gouache, Watercolor, Collage, Portrait, USA
Gammell, Stephen	Illustration, Watercolor, Ink, Horror, USA
Gangloff, Hope	Painting, Portrait, USA
Gauguin, Paul	Painting, Oil, Portrait, France, 19th Century
Geddes, Jeremy	Illustration, Painting, Oil, Covert Art, Author, New Zealand
Gentileschi, Artemisia	Painting, Oil, Portrait, Baroque, Italy, 17th Century
Georgi, Edwin	Painting, Oil, Gouache, Watercolor, Portrait, Pin-Ups, USA
Gerard, Justin	Illustration, Fantasy, USA
Gerhartz, Daniel F.	Painting, Oil, Portrait, USA
Ghailan, Atey	Illustration, Concept Art, Game Art, USA
Ghenie, Adrian	Painting, Oil, Romania
Ghirlandaio, Domenico	Painting, Oil, Portrait, Mythology, Italy, 15th Century
Giancola, Donato	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA
Gibbons, Dave	Illustration, Author, Comic, DC Comics, Marvel, Graphic Novel, Watchmen, UK
Gibson, Charles Dana	Illustration, Ink, Cartoon, USA
Gibson, Ralph	Photography, Portrait, USA
Giger, Hans Rudolf	Painting, Oil, Concept Art, Cover Art, Horror, Switzerland
Gilleard, James	Illustration, Animation, Concept Art, UK
Gilliam, Sam	Painting, Visual Arts, USA
Glackens, William James	Illustration, Painting, USA, 19th Century
Glaser, Milton	Illustration, Flat Style, USA
Goble, Warwick	Illustration, Watercolor, Ink, Children's Book, UK, 19th Century
Gogos, Basil	Illustrator, Painting, Oil, Acrylic, Gouache, Portrait, Cover Art, Horror, Egypt, USA
Goldin, Nan	Photography, Portrait, USA
Gonsalves, Rob	Painting, Oil, Acrylic, Surrealism, Canada
Gonzalez, Josan (Death Burger)	Illustration, Cocos Islands
